"","num_patches","max_area","pct_cover","mean_dis_w_0","mean_dis_no_0","median_dis","num_zeros","max_dis"
"703",3,0.352,0.266603314398219,0.136518033213583,0.184533702640691,0.0955087753854291,2602,0.596228565796381
"704",4,0.352,0.667173006668047,0.0461358679385218,0.140187991305141,0,6709,0.475675946618647
"705",1,0.354,0.107726359715091,0.32910152377607,0.368658590541134,0.325734946045705,1073,0.881811029862583
"706",2,0.354,0.334879520166245,0.0872980567076488,0.130392915171992,0.0543037581845538,3305,0.383492156677905
"707",3,0.354,0.442267732887561,0.0622603252881335,0.113159442544772,0.0165322417678612,4498,0.350398579639015
"708",4,0.354,0.544819689728909,0.0582950574893062,0.126673310493929,0,5398,0.360229185715823
"709",1,0.356,0.175602992701498,0.260879071690844,0.315757772562145,0.232478248001881,1738,0.747773847458473
"710",2,0.356,0.219240826262881,0.151210058976052,0.193264390306814,0.118086195679697,2176,0.656164712678579
"711",3,0.356,0.437260687044393,0.103127272559577,0.18307699726536,0.0321959848810247,4367,0.53451694369333
"712",4,0.356,0.364123157246789,0.106335793375545,0.165194645604389,0.0578904231144808,3563,0.519364495369021
"713",1,0.358,0.0524404215045051,0.509498622544179,0.538468212369667,0.537875728082208,538,1.14216936261256
"714",2,0.358,0.0639860613067897,0.358579010284198,0.381995323622241,0.372509351641154,613,0.918811412172749
"715",3,0.358,0.228904698617605,0.214940629535276,0.281188683327154,0.159136182144388,2356,0.792980129415337
"716",4,0.358,0.389050857944235,0.0803538766619131,0.131490552547722,0.0427940533996513,3889,0.406537977866529
"717",1,0.36,0.133167728827806,0.359596597207719,0.414903192809183,0.371275709864574,1333,0.972902697568071
"718",2,0.36,0.0394915358529114,0.28897637104183,0.300297590192071,0.288160126562692,377,0.716083623581772
"719",3,0.36,0.196001129348907,0.156876512219907,0.195826379003753,0.103087797699584,1989,0.66747502460683
"720",4,0.36,0.688881599209925,0.0243252558030602,0.0784179748647976,0,6898,0.250097889793993
"721",1,0.362,0.117118086462925,0.375287205267143,0.423670360428024,0.386963326131573,1142,0.973441415187962
"722",2,0.362,0.343693857343285,0.141004568539424,0.214618825782989,0.0904376181856108,3430,0.628806720124367
"723",3,0.362,0.220517093973275,0.18619053985204,0.238797665579121,0.158182781299147,2203,0.666993471291506
"724",4,0.362,0.551786364415107,0.0689215430787278,0.155019215201817,0,5554,0.465994629607945
"725",1,0.364,0.0706717367362718,0.363402619339804,0.391977801035276,0.361256506436721,729,0.937800920459154
"726",2,0.364,0.297834493793063,0.184755223675221,0.261027442321589,0.12910435354249,2922,0.627942426122241
"727",3,0.364,0.113961463019113,0.139583992354432,0.158240553627062,0.143621815378548,1179,0.367038847403369
"728",4,0.364,0.351039367495481,0.0725315866166451,0.111758993245986,0.0423878545129523,3510,0.342071289814562
"729",1,0.366,0.0860738341981919,0.424866751069972,0.464284505594987,0.447576928968184,849,1.02110881917173
"730",2,0.366,0.0646433609364749,0.381234510041611,0.407084367369579,0.367196681679827,635,0.945841921346484
"731",3,0.366,0.570793889040146,0.0503902831368996,0.116779335195596,0,5685,0.393349314078502
"732",4,0.366,0.498684334023746,0.0593971815735532,0.118557248649807,0.000214752090712969,4990,0.489883083892385
"733",1,0.368,0.152352,0.196838399249262,0.232779563918238,0.180442877683507,1544,0.634457159834039
"734",2,0.368,0.420726663735835,0.108029936596662,0.186483577760508,0.0369049321933088,4207,0.516578890797124
"735",3,0.368,0.142179743770461,0.195485373272517,0.227440806599787,0.181515181778047,1405,0.66691531105314
"736",4,0.368,0.175243126312203,0.130057998395401,0.158414127156396,0.122177240342755,1790,0.471558119915976
"737",1,0.37,0.15725,0.159512323644454,0.18872731145818,0.153061319015505,1548,0.502978907519504
"738",2,0.37,0.350804736380111,0.11122163620991,0.173188471208207,0.0535395108873211,3578,0.63768560736678
"739",3,0.37,0.600617918259666,0.0388728952606008,0.100136257755283,0,6118,0.320700864349422
"740",4,0.37,0.654268771417166,0.0309007332884002,0.0875374880691223,0,6470,0.273683439939901
"741",1,0.372,0.148543855220671,0.219354110330862,0.25919190633447,0.195280200130415,1537,0.715710791083714
"742",2,0.372,0.263501838213311,0.133085448595145,0.181513159567846,0.100034315046136,2668,0.573027389508887
"743",3,0.372,0.540707565999952,0.07622120783231,0.164731376339551,0,5373,0.440457534923721
"744",4,0.372,0.373054422595812,0.140657115867925,0.226027825595251,0.0522921791164637,3777,0.658668001751776
"745",1,0.374,0.0646786194203252,0.384368775761975,0.410474984794933,0.378167110319812,636,0.930577913736318
"746",2,0.374,0.0583970438489143,0.37254184045264,0.395984099120578,0.352427705897283,592,0.872608389482766
"747",3,0.374,0.492167947295349,0.0784635844534221,0.154760521604383,0.00339864979362987,4930,0.47902498940285
"748",4,0.374,0.513740835209089,0.0693009654996929,0.141430541836108,0,5100,0.419474185833309
"749",1,0.376,0.102461030217493,0.329674164558955,0.367038704697122,0.318853956883772,1018,0.863474399554321
"750",2,0.376,0.313361031426263,0.14109342040278,0.203363246472729,0.0833697966279207,3062,0.572902967542
"751",3,0.376,0.319961394707821,0.15359842370249,0.226713540520281,0.109455484616239,3225,0.655267069350261
"752",4,0.376,0.337323526603071,0.116030003028363,0.174062410783623,0.056084835779126,3334,0.609552251628819
"753",1,0.378,0.15498,0.177086145373462,0.210316087141878,0.168881482728874,1580,0.575769035174546
"754",2,0.378,0.229639641326903,0.127772138580953,0.164718497590503,0.106191155911082,2243,0.47227437419057
"755",3,0.378,0.39987710598353,0.147301528038366,0.247482405978438,0.0655102169982627,4048,0.589727457065811
"756",4,0.378,0.454700672377448,0.0635382912449306,0.116712511471217,0.0123850932995142,4556,0.399298351898912
"757",1,0.38,0.270712348705368,0.20875219077994,0.284287335938907,0.191515404354295,2657,0.741576393664028
"758",2,0.38,0.237231206363526,0.142238543793757,0.18486943565604,0.120333984871052,2306,0.530566823897609
"759",3,0.38,0.215384034998803,0.184489246152734,0.235377961409459,0.123903216153336,2162,0.682903216153337
"760",4,0.38,0.694201478010503,0.0194619794876261,0.0644863468774889,0,6982,0.251091645229781
"761",1,0.382,0.238901129451449,0.200291677317719,0.260017755832427,0.16709274712905,2297,0.6660842603639
"762",2,0.382,0.409820632950368,0.114777140563941,0.193488099399766,0.0521103705195183,4068,0.551533542886529
"763",3,0.382,0.52335872898314,0.0585426160171583,0.125816926750824,0,5347,0.523675799067402
"764",4,0.382,0.422299601808443,0.0764951569779145,0.132024779043691,0.0345238710532765,4206,0.373990724228295
"765",1,0.384,0.150718210006821,0.2847597810898,0.337513074659001,0.286902140067387,1563,0.849218971698804
"766",2,0.384,0.189373521840934,0.25865250952587,0.316976114615037,0.220884146931591,1840,0.731961364790618
"767",3,0.384,0.232565409211168,0.153714794652291,0.201039490782488,0.13840743544115,2354,0.528681252662175
"768",4,0.384,0.523633277100073,0.0594824708687058,0.123689895755263,0,5191,0.466725607176023
"769",1,0.386,0.09747186357283,0.411631412945316,0.456101288582068,0.427373367669522,975,1.01915229443407
"770",2,0.386,0.214443669983274,0.214832589684816,0.272146680624292,0.188232122371215,2106,0.769475454266416
"771",3,0.386,0.436399078094276,0.111874757849725,0.19616825854765,0.0359702110768398,4297,0.591527955384473
"772",4,0.386,0.214862394305137,0.225148151472637,0.288984920385877,0.180217443892705,2209,0.716732952934286
"773",1,0.388,0.15259144716112,0.272793121615367,0.321993769612095,0.257104951981846,1528,0.876530492301262
"774",2,0.388,0.243047420878671,0.122979996626144,0.162844275193517,0.0925612643100612,2448,0.513658587840286
"775",3,0.388,0.43308797982413,0.0758549107695884,0.132059385044548,0.0265739098291358,4256,0.38844319707647
"776",4,0.388,0.416422131813832,0.0848450645955872,0.145183204304564,0.0293754400885275,4156,0.501895084366285
"777",1,0.39,0.19851,0.191678010641855,0.238910645197376,0.172478194490422,1977,0.629538327538899
"778",2,0.39,0.194555891720322,0.265467935069439,0.333167589193574,0.261108848966226,2032,0.838987617264989
"779",3,0.39,0.272818432764695,0.119207691483406,0.164265800583446,0.0847727120529409,2743,0.60293043850072
"780",4,0.39,0.585599086916613,0.041491231100312,0.09790285771664,0,5762,0.314522727437741
"781",1,0.392,0.333241775932727,0.125533557682445,0.188772267191647,0.0776506825422981,3350,0.569844627733808
"782",2,0.392,0.204433744537892,0.236284088295711,0.296615727210283,0.224704763915577,2034,0.758835210321382
"783",3,0.392,0.306122871576429,0.146932996995511,0.212638201151246,0.100776574817532,3090,0.6003557669627
"784",4,0.392,0.273928569751728,0.1400306548136,0.192800020395979,0.0893379883837133,2737,0.511621919861865
"785",1,0.394,0.182816,0.158052293787886,0.192535380421349,0.154435787543561,1791,0.512243459180657
"786",2,0.394,0.14381,0.174001518752831,0.202704471986057,0.1487609140039,1416,0.559811653062683
"787",3,0.394,0.517178836837688,0.0485679447454256,0.102205270928926,0,5248,0.315350830912156
"788",4,0.394,0.306542137098416,0.12450015216898,0.178443675174116,0.0803979818978873,3023,0.621164351137575
"789",1,0.396,0.064152,0.3100345318276,0.331304265684548,0.305722670867718,642,0.833170443963259
"790",2,0.396,0.488557780889554,0.0776285694080935,0.150910904759124,0.00506327357025634,4856,0.551328235767806
"791",3,0.396,0.375931797551074,0.115185386160521,0.185007044909285,0.0486159412034325,3774,0.540022426484246
"792",4,0.396,0.386881497001998,0.137199853376047,0.222185997370117,0.0763326132410651,3825,0.665965663816946
"793",1,0.398,0.240392,0.13315656750236,0.174402838902895,0.117973568485474,2365,0.530262280370387
"794",2,0.398,0.367273561585647,0.154432079346046,0.244277252999123,0.0939266871473865,3678,0.696142370451604
"795",3,0.398,0.576203554444176,0.0574045730645515,0.13481581273967,0,5742,0.5078762286413
"796",4,0.398,0.5700140615251,0.0609364209074906,0.143887652674122,0,5765,0.454416072342176
"797",1,0.4,0.267829226454989,0.163282971804711,0.219761738633528,0.115174083028557,2570,0.641968635012534
"798",2,0.4,0.20544436995033,0.166193663926269,0.209496614050509,0.14143396908047,2067,0.590337710434294
"799",3,0.4,0.238375563801948,0.123607269127725,0.161789619277127,0.096859173036762,2360,0.508782345190866
"800",4,0.4,0.734793949375833,0.0233262644665348,0.084730346772738,0,7247,0.334874519891808
"801",1,0.402,0.209465738194161,0.220365713805316,0.277608608976211,0.196227407796222,2062,0.722338350348012
"802",2,0.402,0.193321732054398,0.239481052601281,0.296350764263433,0.194784033754958,1919,0.734073044428743
"803",3,0.402,0.244318729967772,0.125946040616438,0.167414649230943,0.0884039246919603,2477,0.586414884857758
"804",4,0.402,0.622548102664832,0.0251217131792339,0.0662492436161233,0,6208,0.239205682411234
"805",1,0.404,0.16497533623232,0.314970916707185,0.374341474574739,0.311293999650235,1586,0.895454805263734
"806",2,0.404,0.278918231849947,0.189158055630973,0.261846699378423,0.153763381650512,2776,0.655262961225327
"807",3,0.404,0.314505903052653,0.171226848111761,0.247759872828478,0.119188984148705,3089,0.639137308907894
"808",4,0.404,0.51488651012306,0.0486407893993563,0.0998374166653455,0,5128,0.369786253031567
"809",1,0.406,0.298926249729655,0.129907931318521,0.182352514484168,0.0964195560857953,2876,0.579373487636207
"810",2,0.406,0.459678920439376,0.0589307330189024,0.109801999289924,0.0115093389136547,4633,0.366458100894508
"811",3,0.406,0.267563298723072,0.0969304740478248,0.131627476979664,0.0635726304575507,2636,0.504008762996718
"812",4,0.406,0.514060313578419,0.0579659828742568,0.120888389727334,0,5205,0.446213360105704
"813",1,0.408,0.17139680474981,0.233052684163701,0.280921750438405,0.19508201648491,1704,0.810701032313612
"814",2,0.408,0.269461167290301,0.117072705765373,0.160241863900046,0.0837040973349734,2694,0.475806447352202
"815",3,0.408,0.371438047524425,0.106217123060713,0.170110703172187,0.0610568413945383,3756,0.554739087693517
"816",4,0.408,0.504387631055498,0.0480589826826654,0.0946975028229861,0.00221874453833191,4925,0.286467053463455
"817",1,0.41,0.247281235001499,0.209600344971986,0.279392621930133,0.186284024479155,2498,0.738800351784932
"818",2,0.41,0.22934053718199,0.136223501880323,0.179312230986341,0.108367395913835,2403,0.562922187250144
"819",3,0.41,0.645031320705913,0.0335138903615469,0.0927078571550397,0,6385,0.31676859611757
"820",4,0.41,0.305991910904426,0.102906635312459,0.14774822011839,0.0730131715399288,3035,0.484479068830934
"821",1,0.412,0.117103307738071,0.361415656277479,0.407550356650292,0.377056093029664,1132,0.938330212768853
"822",2,0.412,0.380283665142437,0.0939677730681088,0.152743454271958,0.0398424753895064,3848,0.547034754738904
"823",3,0.412,0.503038645670035,0.0705234805476903,0.141841272219811,0,5028,0.537083322466138
"824",4,0.412,0.64664698020973,0.0328317072951857,0.0927449358621066,0,6460,0.300025850670046
"825",1,0.414,0.290885755450224,0.169722315713401,0.238978197287244,0.138718500938658,2898,0.666406681522913
"826",2,0.414,0.260834058257948,0.116207680326545,0.158364241382591,0.0845356199495268,2662,0.500385492695932
"827",3,0.414,0.304924212363492,0.211999445806482,0.30315951066278,0.160274787819375,3007,0.670047261080025
