"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","y","area"
"3.1.1",0.400452971458435,0.68280017375946,0.836077809333801,1.14816832542419,1.41727256774902,1.79118633270264,2.10169672966003,2.19942307472229,2.59114718437195,3.33701324462891,3.90562558174133,100,12900,9502.21333062276
"4.1",0.552793204784393,0.761688232421875,1.0330194234848,1.37192130088806,1.41551029682159,1.86489629745483,1.90408062934875,2.12156343460083,2.28332257270813,2.93583989143372,3.49249982833862,100,12800,9779.05563014746
"4.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.74242377281189,-100,12800,10162.1892179586
"5.1",-9999,-9999,-9999,-9999,-9999,-9999,0.136933177709579,0.295602977275848,0.622645914554596,1.34111177921295,1.44224572181702,-100,12700,9992.17145683616
"5.1.1",0.441914081573486,0.584281742572784,0.797392129898071,1.09475719928741,1.4519602060318,1.89216899871826,1.98889851570129,2.31185364723206,2.57077884674072,3.25764226913452,3.80721402168274,100,12700,9949.05760608986
"6.1",0.437638223171234,0.598136246204376,0.830523729324341,1.16747212409973,1.48368501663208,1.71148431301117,2.06936883926392,2.38776659965515,2.76312255859375,3.49910640716553,4.03132772445679,100,12600,10125.1195030157
"6.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.096954345703125,0.618670105934143,0.857186555862427,1.51209580898285,1.5395792722702,-100,12600,9816.0910961777
"7.1",0.759396433830261,1.11250340938568,1.44871079921722,1.79012596607208,2.1401584148407,2.30887866020203,2.64001274108887,2.82293295860291,3.18850421905518,3.84713053703308,4.36127662658691,100,12500,10315.6694099046
"7.1.1",-9999,-9999,-9999,3.64979577064514,3.80152559280396,1.39510846138,1.73192775249481,2.02935218811035,1.44541692733765,1.24297046661377,1.36123442649841,-100,12500,9625.47748119012
"8.1",1.12214136123657,1.38843441009521,1.71503663063049,2.11928296089172,2.45067834854126,2.84902954101562,3.1074755191803,3.3963737487793,3.74117136001587,4.43919515609741,4.93803644180298,100,12400,10533.6318806224
"8.1.1",-9999,-9999,-9999,3.7299268245697,3.53649950027466,3.40045738220215,3.73727202415466,4.03469371795654,4.38386249542236,5.07730484008789,5.20980596542358,-100,12400,9407.54224940576
"9.1",1.06431567668915,1.36544346809387,1.79405331611633,1.97355580329895,2.20938587188721,2.46238374710083,2.64068984985352,2.77410078048706,3.12165951728821,3.75949001312256,4.09827518463135,100,12300,10786.9322699029
"9.1.1",-9999,-9999,-9999,3.17866492271423,2.70106673240662,2.91338276863098,2.93833327293396,3.23575353622437,3.58490657806396,3.46988797187805,3.72638630867004,-100,12300,9154.13107040711
"10.1",0.743715167045593,0.947238087654114,1.35582983493805,0.957636654376984,1.56111037731171,1.94891119003296,2.17623090744019,2.47130489349365,2.44650173187256,2.79358744621277,3.14219856262207,100,12200,10984.0042200992
"10.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0175273288041353,0.160996735095978,3.05467939376831,2.11978936195374,1.52930390834808,-100,12200,8956.97115843184
"11.1",-9999,0.209564223885536,0.588897705078125,0.962234497070312,0.746463060379028,1.13807046413422,1.47352182865143,1.7694000005722,1.26589047908783,1.85195565223694,1.89808976650238,100,12100,11058.1199476356
"11.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0207930151373148,0.173597067594528,5.00437068939209,5.82247877120972,6.55098676681519,-100,12100,8882.92987476103
"12.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0279785059392452,0.149043574929237,1.70868718624115,2.07888269424438,2.60521602630615,100,12000,11115.818576107
"12.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0204874984920025,0.179674372076988,5.11659383773804,5.9346809387207,6.66316080093384,-100,12000,8824.40280416911
"13.1",-9999,-9999,-9999,0.727536022663116,0.626019179821014,0.864263296127319,0.298459589481354,0.277911514043808,0.546587824821472,1.26298940181732,1.87264394760132,100,11900,10954.2699476455
"13.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0205899942666292,0.180558890104294,4.04496049880981,4.86304378509521,5.1871771812439,-100,11900,8987.08352429583
"14.1",0.151209056377411,0.253506630659103,0.534235239028931,0.63133293390274,0.818741798400879,0.929268956184387,0.95339697599411,1.2229528427124,1.58374214172363,2.31043839454651,2.78600239753723,100,11800,10892.1416744511
"14.1.1",-9999,-9999,0.00818554311990738,0.327105224132538,1.1311320066452,1.64359259605408,1.99280381202698,1.79929566383362,2.16037464141846,2.88767409324646,2.95485949516296,-100,11800,9048.49324413436
"15.1",0.408388435840607,0.580663025379181,0.916761457920074,1.32684934139252,1.69937491416931,2.12491846084595,2.48268604278564,2.79725623130798,3.16019463539124,3.91731977462769,4.50872325897217,100,11700,10758.3657214884
"15.1.1",-9999,-9999,0.00819949433207512,0.325856059789658,1.35775685310364,3.57442355155945,3.96941471099854,4.30991458892822,4.67099666595459,5.39829301834106,6.00611782073975,-100,11700,9182.81321404409
"16.1",0.490146934986115,0.707451045513153,0.989642739295959,1.3960964679718,1.75096845626831,2.10594058036804,2.46146774291992,2.77552795410156,3.13663744926453,3.85886454582214,4.36227893829346,100,11600,10725.7983939778
"16.1.1",-9999,-9999,0.00831476133316755,0.327103435993195,1.40087425708771,3.8164963722229,4.21148729324341,4.55198812484741,4.9130654335022,5.64033985137939,6.2480640411377,-100,11600,9215.19592583179
"17.1",0.582835853099823,0.81533145904541,1.16213309764862,1.54203343391418,1.76581120491028,1.73773813247681,2.10218596458435,2.23818922042847,2.59801197052002,3.3515202999115,3.62536597251892,100,11500,10762.6276469138
"17.1.1",-9999,-9999,0.00987554341554642,0.317560523748398,1.3412926197052,3.16264033317566,3.55763077735901,3.89812326431274,4.2591667175293,4.98614645004272,5.59306240081787,-100,11500,9178.68535158969
"18.1",0.571773052215576,0.762126505374908,1.0407487154007,1.40916061401367,1.73445677757263,2.09080338478088,2.34875750541687,2.61490273475647,2.77425718307495,3.29997277259827,3.77524042129517,100,11400,10932.0277598593
"18.1.1",-9999,-9999,0.0126869091764092,0.325593113899231,1.3392995595932,3.46716332435608,3.86214184761047,4.07961368560791,4.3948917388916,5.12049722671509,5.72416591644287,-100,11400,9008.74300727434
"19.1",0.614475250244141,0.770191133022308,1.0465282201767,1.41804790496826,1.74860572814941,2.15014863014221,2.50614166259766,2.82035303115845,3.17830538749695,3.91706013679504,4.50055980682373,100,11300,11127.7496430241
"19.1.1",-9999,-9999,0.0146293733268976,0.327011972665787,1.38572096824646,2.32805204391479,2.72294569015503,2.79527258872986,3.05935287475586,3.67359733581543,4.26792097091675,-100,11300,8813.61109128594
"20.1",0.522859692573547,0.66127073764801,0.90069442987442,1.13929414749146,1.47457528114319,1.79740309715271,2.15710735321045,2.47379040718079,2.83322739601135,3.5756471157074,4.16373205184937,100,11200,11106.8964798786
