"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","mean.correction_factor","y","area","bottom_area"
"38.4",1.11587727069855,1.42662036418915,1.82352757453918,2.32129836082458,2.75057578086853,3.16894674301147,3.42198324203491,3.71257066726685,3.97349309921265,4.69557046890259,4.52652883529663,0,1.00355100631714,5000,39858.6800333187,40000.2184579098
"39.4",1.14028704166412,1.44774866104126,1.88541638851166,2.36939167976379,2.7899444103241,3.26834273338318,3.67144107818604,3.84429240226746,4.0210657119751,4.5457444190979,4.7522611618042,0,1.002925157547,4800,39858.6738160476,39975.2667165739
"40.4",1.1666020154953,1.48501694202423,1.92846858501434,2.42423367500305,2.83481764793396,3.2946720123291,3.62865996360779,3.72748589515686,3.92087316513062,3.86353778839111,4.25865888595581,0,1.00192999839783,4600,39858.6759806946,39935.6031614768
"41.4",0.62977796792984,0.833842098712921,1.17594158649445,1.64154243469238,2.02614498138428,2.49837517738342,2.89342546463013,3.18262314796448,3.45444297790527,3.96689224243164,3.80928683280945,0,1.00221157073975,4400,39858.6807195768,39946.8310115811
"42.4",0.640685439109802,0.968190610408783,1.49643743038177,1.97728562355042,2.3658082485199,2.81263446807861,3.23790311813354,3.50185227394104,3.8255033493042,4.35320997238159,4.27016019821167,0,1.00237619876862,4200,39858.6914486215,39953.4036221603
"43.4",0.736514151096344,1.0950825214386,1.58258140087128,2.05496668815613,2.39668107032776,2.84927320480347,3.20792484283447,3.53526616096497,3.74755215644836,4.37770652770996,4.74239921569824,0,1.00210881233215,4000,39858.6976438686,39942.7521570036
"44.4",0.576531052589417,0.912850618362427,1.42646741867065,1.94781410694122,2.35827326774597,2.8182258605957,3.14571404457092,3.24832201004028,3.59006237983704,4.30443525314331,4.87093639373779,0,1.00079071521759,3800,39858.6735709608,39890.1904307063
"45.4",0.692638635635376,1.07553827762604,1.62114417552948,2.1402370929718,2.51272010803223,2.95321154594421,3.35406970977783,3.63848853111267,4.02253293991089,4.65961837768555,5.01320457458496,0,1.00035178661346,3600,39858.6587277204,39872.6804702914
"46.4",0.874111473560333,1.24077093601227,1.78163802623749,2.29367136955261,2.64976048469543,3.13150763511658,3.52270245552063,3.83831691741943,4.21124744415283,4.59241199493408,4.42392206192017,0,1.00089359283447,3400,39858.6628579274,39894.2802734489
"47.4",0.930761694908142,1.31788718700409,1.8089017868042,2.31257462501526,2.64402937889099,3.07058024406433,3.36271953582764,3.45883965492249,3.6970808506012,4.11482095718384,3.53045392036438,0,1.00178754329681,3200,39858.5904355645,39929.8393917181
"48.4",0.451128453016281,0.796319186687469,1.23853409290314,1.73354363441467,1.9623783826828,2.39730787277222,2.656174659729,2.75786542892456,2.97055339813232,3.31700396537781,2.64347982406616,0,1.00096392631531,3000,39858.7488582879,39897.1697552077
"49.4",0.540114223957062,0.814288556575775,1.33058130741119,1.68606269359589,2.00160455703735,2.24607539176941,2.60499930381775,2.51882672309875,2.18922281265259,2.59679412841797,1.50810539722443,0,1.00242984294891,2800,39858.5800863206,39955.4301760971
"50.4",0.753883302211761,1.16341400146484,1.43812787532806,0.468175649642944,0.431632906198502,0.196410477161407,0.412466526031494,0.578472435474396,0.783775866031647,0.923562288284302,0.832249760627747,0,1.0003787279129,2600,39858.9143271148,39874.0100105485
"51.4",0.288168877363205,0.522085249423981,0.990136444568634,0.342800259590149,0.373253166675568,0.390878140926361,0.48682776093483,0.572832763195038,0.603152215480804,0.767379105091095,1.13856291770935,0,1.00022053718567,2400,39858.8537588343,39867.6441182663
"52.4",0.825087666511536,1.09293043613434,1.27649414539337,1.65384423732758,1.62289547920227,1.56866085529327,1.68958842754364,1.74952781200409,1.77456963062286,2.02546572685242,2.45436215400696,0,1.00054800510406,2200,39858.3661376908,39880.208725774
"53.4",0.708947837352753,0.964898288249969,1.21184659004211,1.45511341094971,1.63675940036774,1.93743789196014,2.19109416007996,2.40725374221802,2.64278817176819,3.16392683982849,3.579913854599,0,1.00062215328217,2000,39858.1938563362,39882.9917624651
"54.4",0.989600658416748,1.24692416191101,1.16998851299286,1.40815758705139,1.47043478488922,1.62631833553314,1.86492526531219,1.78872716426849,1.24897694587708,1.18556237220764,1.35367703437805,0,1.00089478492737,1800,39858.6818485782,39894.346796321
"55.4",-9999,-9999,0.367600053548813,0.123854711651802,0.261951863765717,0.367638856172562,0.495435327291489,0.618843138217926,0.697632789611816,0.950910687446594,1.00065076351166,0,1.00022172927856,1600,39858.7493551597,39867.5872068987
"56.4",1.32971954345703,1.24825668334961,0.616114735603333,0.161088153719902,0.259417533874512,0.382770329713821,0.467884838581085,0.627095818519592,0.778804302215576,1.15918016433716,1.58755552768707,0,1.00016009807587,1400,39859.077270478,39865.4586320548
"57.4",1.05242955684662,1.19938814640045,0.905170202255249,0.636531352996826,0.696807742118835,0.85735410451889,1.04556620121002,1.21331036090851,1.42371773719788,1.93005847930908,2.41446256637573,0,1.00045442581177,1200,39858.7357311547,39876.8485694953
